time,high_g_x,high_g_y,high_g_z,bmx_x_magn,bmx_y_magn,bmx_z_magn,bmx_x_gyro,bmx_y_gyro,bmx_z_gyro,bmx_x_accel,bmx_y_accel,bmx_z_accel,cpu_temp,real_temp,baro_height,gps_height,gps_satCount,gps_lat,gps_lon,gps_ascent,gps_groundSpeed,telemetrum_board.arm_status,telemetrum_board.current,telemetrum_board.voltage,stratologger_board.arm_status,stratologger_board.current,stratologger_board.voltage,camera_board.arm_status,camera_board.current,camera_board.voltage,v3_rail_voltage,v5_rail_voltage,mainBatteryVoltage,mainBatteryTemperature
0.162850142,-0.156906396,-0.627625585,0.156906396,-179.6999969,228.3000031,-20.70000076,-0.030487999,0.007622,0.045731999,0.233873919,-9.675560951,-0.783567309,54.0719986,41.512146,2.323922396,-8.858699799,0,32.94288254,-106.9146576,3.175002813,0.173999995,1,38.85076141,4.141251087,1,0.025354659,8.189259529,1,278.9519653,4.992686272,3.32247448,5.037865162,14.5295496,36.47632599
0.398791075,-0.078453198,-0.666852176,0,-186.8999939,237.8999939,-15.89999962,-0.030487999,0.083842002,0.045731999,0.228490621,-9.667186737,-0.776987731,54.0719986,41.50848007,0.101224735,-8.858699799,0,32.94288254,-106.9146576,3.175002813,0.108000003,1,38.85076141,4.141251087,1,0.025354659,8.189259529,1,278.9519653,4.992686272,3.323426008,5.03874445,14.57116032,36.33307266
0.562092066,-0.353039414,-0.431492597,0.156906396,-174.8999939,237.8999939,-17.10000038,-0.030487999,0.083842002,0.030487999,0.241051629,-9.667785645,-0.769211888,54.0719986,41.47943497,13.56330872,-8.858699799,0,32.94288254,-106.9146576,3.175002813,0.108000003,1,38.85076141,4.141251087,1,0.025354659,8.189259529,1,278.9519653,4.992686272,3.323426008,5.03874445,14.57116032,36.33307266
0.754744768,-0.117679797,-0.784532011,0.313812792,-174.8999939,240.3000031,-15.89999962,-0.022865999,0.030487999,0.045731999,0.221911058,-9.658214569,-0.772800744,54.61000061,41.49618149,1.541584611,-8.858699799,0,32.94288254,-106.9146576,3.175002813,0.108000003,1,38.85076141,4.141251087,1,0.025354659,8.189259529,1,322.4260864,4.989198685,3.323426008,5.03874445,14.57116032,36.33307266
0.917600155,0,-0.549172401,0.235359594,-177.3000031,240.3000031,-21.29999924,-0.038109999,0.038109999,0.053353999,0.258397788,-9.674962997,-0.821848512,54.0719986,41.49781799,6.822477341,-8.858699799,0,32.94288254,-106.9146576,3.175002813,0.108000003,1,38.85076141,4.141251087,1,0.025354659,8.189259529,1,322.4260864,4.989198685,3.323426008,5.03874445,14.57116032,36.33307266
1.118188143,-0.235359594,-0.745305419,0.392266005,-186.8999939,242.6999969,-23.10000038,-0.022865999,0.076219998,0.038109999,0.249425635,-9.682739258,-0.811081886,54.0719986,41.49991226,4.948634624,-8.858699799,0,32.94288254,-106.9146576,3.175002813,0.108000003,1,38.85076141,4.141251087,1,0.02536192,8.194129944,1,322.4260864,4.989198685,3.323426008,5.03874445,14.57116032,36.33307266
1.313679934,-0.117679797,-0.549172401,0.196133003,-182.1000061,233.1000061,-18.29999924,-0.015244,0.068598002,0.038109999,0.218322188,-9.681542397,-0.768613756,54.0719986,41.50278854,3.267349958,-8.858699799,0,32.94288254,-106.9146576,3.175002813,0.108000003,1,38.85076141,4.141251087,1,0.02536192,8.194129944,1,325.4695129,4.989597321,3.323426008,5.03874445,14.57116032,36.33307266
1.473837852,-0.50994581,-0.50994581,0.235359594,-167.6999969,240.3000031,-24.89999962,-0.038109999,0.068598002,0.045731999,0.213537052,-9.68214035,-0.792539477,54.0719986,41.48963928,5.318235874,-8.858699799,0,32.94288254,-106.9146576,3.175002813,0.108000003,1,38.85076141,4.141251087,1,0.02536192,8.194129944,1,325.4695129,4.989597321,3.323426008,5.03874445,14.57116032,36.33307266
1.662733078,-0.313812792,-0.470719188,0.196133003,-184.5,237.8999939,-17.10000038,-0.022865999,0.053353999,0.053353999,0.264379203,-9.660009384,-0.76023978,54.0719986,41.52143478,10.73689842,-8.858699799,0,32.94288254,-106.9146576,3.175002813,0.108000003,1,38.85076141,4.141251087,1,0.05072384,8.195059776,1,325.4695129,4.989597321,3.323426008,5.03874445,14.57116032,36.33307266
1.856710911,-0.196133003,-0.50994581,0,-184.5,247.5,-22.5,-0.045731999,0.076219998,0.045731999,0.224901766,-9.690514565,-0.765623033,54.0719986,41.52228546,6.164060116,-8.858699799,0,32.94288254,-106.9146576,3.175002813,0.108000003,1,38.85076141,4.141251087,1,0.05072384,8.195059776,1,402.3668518,4.983085632,3.323426008,5.03874445,14.57116032,36.33307266
2.011876822,-0.078453198,-0.666852176,0.274586201,-182.1000061,237.8999939,-15.89999962,-0.030487999,0.030487999,0.045731999,0.202770472,-9.691112518,-0.777585924,54.0719986,41.52843475,4.911045074,-8.858699799,0,32.94288254,-106.9146576,3.175002813,0.108000003,1,38.85076141,4.141251087,1,0.05072384,8.195059776,1,402.3668518,4.983085632,3.323426008,5.03874445,14.57116032,36.33307266
2.215074062,-0.353039414,-0.627625585,0.078453198,-172.5,242.6999969,-13.5,-0.045731999,0.045731999,0.038109999,0.242846057,-9.677355766,-0.765623033,54.61000061,41.51482773,6.080364704,-6.890100002,0,32.94288635,-106.9146576,3.175002813,0.059999999,1,38.85076141,4.141251087,1,0,8.193332672,1,402.3668518,4.983085632,3.323426008,5.03874445,14.57116032,36.33307266
2.404151201,-0.235359594,-0.431492597,0.235359594,-186.8999939,257.1000061,-17.70000076,-0.030487999,0.076219998,0.038109999,0.238060921,-9.668383598,-0.776987731,54.0719986,41.49284363,7.219707489,-6.890100002,0,32.94288635,-106.9146576,3.175002813,0.059999999,1,38.85076141,4.141251087,1,0,8.193332672,1,420.4498901,4.982686996,3.323426008,5.03874445,14.57116032,36.33307266
2.564734936,-0.274586201,-0.50994581,0.078453198,-167.6999969,252.3000031,-15.30000019,-0.030487999,0.053353999,0.053353999,0.233873919,-9.664196014,-0.775193334,54.0719986,41.49605179,-4.105596542,-6.890100002,0,32.94288635,-106.9146576,3.175002813,0.059999999,1,38.85076141,4.141251087,1,0,8.193332672,1,420.4498901,4.982686996,3.323426008,5.03874445,14.57116032,36.33307266
